id,type,xmin,ymin,xmax,ymax,character_id,character_name,page_number
00073395,frame,110,608,777,1166,,,14
00073396,frame,110,406,443,587,,,14
00073397,body,875,34,1604,817,000731c1,リューイ,14
00073398,body,1181,860,1495,1023,000731e0,チビ,14
00073399,frame,873,2,1606,881,,,14
0007339a,frame,460,402,758,584,,,14
0007339b,frame,894,779,1166,1088,,,14
0007339c,body,907,807,1141,1075,000731e0,チビ,14
0007339d,body,873,297,1553,882,000731e0,チビ,14
0007339e,frame,1185,826,1540,1087,,,14
0007339f,frame,109,107,758,387,,,14
000733a0,body,257,730,653,968,000731e0,チビ,14
