id,type,xmin,ymin,xmax,ymax,text_content,page_number
00011013,frame,67,75,749,528,,95
00011014,text,1523,91,1566,212,事態を憂慮したコンプ編集部は,95
00011015,text,196,683,228,739,キャー♡,95
00011016,frame,916,646,1601,798,,95
00011017,text,1220,656,1300,791,仕事です仕事と思ってあきらめて下さい！,95
00011018,text,1263,827,1313,934,このワザですこのワザ!!,95
00011019,frame,1120,417,1297,629,,95
0001101a,text,1090,828,1129,897,わかりますか!?,95
0001101b,frame,916,69,1297,399,,95
0001101c,text,943,88,1078,234,さっきのがバックドロップここからダブル・アームスープレックスに入ります,95
0001101d,text,1332,831,1380,883,そしてある日,95
0001101e,frame,1303,72,1594,625,,95
0001101f,frame,913,820,1312,1102,,95
00011020,frame,67,775,752,954,,95
00011021,text,1061,355,1137,389,教育係のはせがー・J・しん,95
00011022,text,1523,651,1592,770,どーしておぼえられないんですかあー？,95
00011023,text,1471,833,1586,949,こうして読者の知らないところでひみつの特訓はつづけられた,95
00011024,text,166,554,287,666,こんな長い名前をつまらず正しく言えるようになったなんて!!,95
00011025,text,1057,450,1109,608,…………ドラゴンバスター,95
00011026,text,312,1027,347,1102,ありがとうロボコンプ～,95
00011027,text,401,71,448,526,ジャーマン・スープレックス・ホールド,95
00011028,frame,379,547,748,750,,95
00011029,text,980,1048,1025,1108,む!!,95
0001102a,text,1335,650,1453,798,２時間もむさい男のカラミ観せられてるこっちの身にもなってくれよおおーっ,95
0001102b,text,434,958,508,1067,作品の裏には色々と苦労があるもんです,95
0001102c,text,1175,832,1210,894,あーもーつかれる,95
0001102d,text,1332,936,1354,1012,そーじゃない,95
0001102e,text,593,558,735,739,大宮さん!!進歩しましたねっ♡,95
0001102f,text,373,779,481,849,でも今のは卍固めだったんですよー～,95
00011030,frame,72,549,366,747,,95
00011031,text,593,961,734,1127,この特訓は教育用テレビがロボコンプくんのパーツに流用されることになってやっと終わりました,95
00011032,text,1356,974,1382,1017,ちがう,95
00011033,text,1457,678,1501,766,そんなこと言ったって,95
00011034,text,442,1086,536,1121,やっと解放された,95
00011035,text,917,544,981,628,………そんなワザないスよ,95
00011036,frame,1325,823,1598,1105,,95
00011037,text,1242,423,1290,532,では今のワザはわかりますか？,95
00011038,frame,916,414,1117,632,,95
00011039,text,1338,91,1444,279,大宮に徹底的にプロレス知識をたたき込むため急きょ教育部門を設置し特訓を開始した,95
0001103a,text,1129,432,1152,472,あ？,95
