id,type,xmin,ymin,xmax,ymax,text_content,page_number
00010fff,text,257,238,365,396,将来は武道館で歌って踊れるプロレスラーになりたいでーす♡,94
00011000,text,502,922,528,967,は!?,94
00011001,text,51,68,457,175,リングサイド通信,94
00011002,text,251,867,292,958,まったくの無知でした,94
00011003,text,67,380,116,573,こらこらこらっ,94
00011004,text,174,942,236,1039,パパとイノキの見分けくらいはつくんですが…,94
00011005,frame,67,69,746,645,,94
00011006,frame,424,859,739,1099,,94
00011007,text,226,673,291,808,コンプ編集部じゅんけいさんの企画でした。,94
00011008,text,643,869,730,963,大宮さんプロレスまんが描きませんか？,94
00011009,frame,58,862,241,1105,,94
0001100a,text,427,867,475,959,…と言われた時,94
0001100b,text,665,147,692,281,緋名子でーす,94
0001100c,text,365,864,409,1001,実は大宮はプロレスについて,94
0001100d,text,569,725,600,766,くす,94
0001100e,text,304,917,347,1015,プロレスですかー…,94
0001100f,frame,58,664,746,837,,94
00011010,text,263,506,303,532,大宮,94
00011011,frame,247,859,412,1102,,94
00011012,text,644,673,711,813,このマンガ「１・２・３で……」はもともと,94
