id,type,xmin,ymin,xmax,ymax,character_id,character_name,page_number
00061798,face,134,446,236,536,00060b96,ヴァルナス,87
00061799,frame,902,0,1653,408,,,87
0006179a,frame,0,369,333,690,,,87
0006179b,body,170,710,675,1160,00060b96,ヴァルナス,87
0006179c,frame,0,708,777,1165,,,87
0006179d,frame,1219,424,1570,705,,,87
0006179e,frame,904,429,1210,705,,,87
0006179f,face,446,814,517,878,00060b96,ヴァルナス,87
000617a0,frame,0,0,336,355,,,87
000617a1,frame,346,2,775,694,,,87
000617a2,body,0,373,336,685,00060b96,ヴァルナス,87
000617a3,frame,898,725,1649,1167,,,87
