id,type,xmin,ymin,xmax,ymax,character_id,character_name,page_number
00071663,face,649,631,719,718,0007136c,馬庭あゆみ,103
00071664,body,383,489,631,1169,0007136c,馬庭あゆみ,103
00071665,frame,0,0,1653,1169,,,103
00071666,face,96,385,176,509,0007136c,馬庭あゆみ,103
00071667,face,1529,338,1581,439,0007040f,押足藤太,103
00071668,body,581,564,743,1166,0007136c,馬庭あゆみ,103
00071669,face,1017,455,1096,553,0007040f,押足藤太,103
0007166a,body,0,305,253,1165,0007136c,馬庭あゆみ,103
0007166b,face,1102,162,1206,320,0007040f,押足藤太,103
0007166c,face,508,560,571,644,0007136c,馬庭あゆみ,103
0007166d,body,1138,387,1228,524,0007040f,押足藤太,103
0007166e,body,1433,242,1652,1166,0007040f,押足藤太,103
0007166f,body,867,554,1065,1169,0007040f,押足藤太,103
00071670,body,105,210,571,1169,0007136c,馬庭あゆみ,103
00071671,face,1160,446,1201,513,0007040f,押足藤太,103
00071672,face,395,291,490,443,0007136c,馬庭あゆみ,103
00071673,body,125,427,302,1166,0007136c,馬庭あゆみ,103
00071674,body,1034,18,1641,1169,0007040f,押足藤太,103
00071675,body,970,363,1211,1167,0007040f,押足藤太,103
00071676,face,906,618,973,692,0007040f,押足藤太,103
00071677,face,155,485,218,572,0007136c,馬庭あゆみ,103
