                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.82821,                0.52015,                 1.0771,                0.90927,                0.88927,                0.94439,                0.71953,                0.85979,                0.54017,                 1.1438,             0.00041639,             0.00041639,             0.00041639
                      2,                0.84285,                0.53587,                 1.0845,                0.90418,                 0.8842,                0.94005,                0.70808,                0.88205,                0.55759,                 1.1588,             0.00075058,             0.00075058,             0.00075058
                      3,                0.84778,                0.54235,                 1.0865,                0.90025,                0.88282,                0.93788,                0.70679,                 0.8796,                0.55903,                 1.1584,              0.0010023,              0.0010023,              0.0010023
                      4,                 0.8461,                0.54099,                  1.087,                0.90628,                0.88593,                0.94208,                0.71443,                0.86969,                0.54608,                 1.1499,             0.00087875,             0.00087875,             0.00087875
                      5,                0.84099,                0.53427,                 1.0833,                0.90612,                0.88947,                0.94359,                0.71738,                0.85983,                0.53608,                 1.1497,               0.000755,               0.000755,               0.000755
                      6,                0.83426,                0.52557,                 1.0774,                0.90569,                0.89026,                0.94481,                0.72069,                0.85494,                0.53052,                  1.143,             0.00063125,             0.00063125,             0.00063125
                      7,                0.82719,                0.51874,                 1.0749,                0.90872,                0.89537,                0.94654,                0.72416,                0.84653,                0.52045,                 1.1356,              0.0005075,              0.0005075,              0.0005075
                      8,                0.82253,                0.51047,                 1.0725,                0.91038,                0.89763,                0.94835,                0.72806,                0.84358,                0.51418,                 1.1306,             0.00038375,             0.00038375,             0.00038375
                      9,                0.81589,                0.50332,                 1.0675,                0.91285,                0.90086,                0.95052,                0.73318,                 0.8298,                0.50346,                  1.123,                0.00026,                0.00026,                0.00026
                     10,                0.81074,                0.49664,                 1.0639,                0.91559,                 0.9011,                0.95201,                0.73691,                0.82449,                0.49603,                 1.1179,             0.00013625,             0.00013625,             0.00013625
